account_handle,in_group,twitter_id
cagiago_,Arsenal,1587130893616955393
mariEscobarPME,Arsenal,1547603236860809216
tjprivv,Arsenal,1527619225874989056
OzilThings,Arsenal,881055182741786624
Bxshhyy,Arsenal,1282368981047836672
chiddyafc,Arsenal,2647037665
m_tactician,Arsenal,1119917509933772803
afcjxmes,Arsenal,1220529814257512449
AFCMax9,Arsenal,1115378355677872129
afcevan,Arsenal,1029469564382445569
Afcsammmm,Arsenal,1336397112020512769
NotYourWinger,Arsenal,1156085742734663680
afcslxt,Arsenal,1507638026633105409
Gooner_Eurychus,Arsenal,1233011702830182401
ArsenalReveal,Arsenal,1424014019514572806
AFC1BR4,Arsenal,1198223011977011204
_AFCBilly,Arsenal,808441013442400257
BlackScarfMarc,Arsenal,1413099631605657607
scrapytweets,Arsenal,1469449122000297988
PapaPincus,Arsenal,1104048876867276800
1886DL_,Arsenal,1601975062877323265
clinicalkai,Arsenal,1107063164376629250
SakaEra_,Arsenal,1674750084485873665
OdeMagical,Arsenal,1673638164064358400
JadenAFC,Arsenal,2653960251
rafsenal,Arsenal,1300937832337465349
trickyredsfc,Arsenal,916690269801734145
MoArsenal86,Arsenal,1379802921685151745
ArsenalAnoop,Arsenal,1202428295469514752
NSftbl,Arsenal,1410956278466293771
olIieAFC,Arsenal,1432913297125281793
STFootball10,Arsenal,1549384526081986560
allthatyouget,Arsenal,1619311507220709377
abdulxvd,Arsenal,1438002837015781376
abzzinhoo,Arsenal,1474977913372037120
afc_richard,Arsenal,343638876
orehnato,Arsenal,1838244120482979840
AFCMet,Arsenal,1347255415
osowxvyy,Arsenal,1338355611306700801
AJ__SR7,Arsenal,1433796168920731649
mikel_era,Arsenal,1768585927365132288
PatrickTimmons1,Arsenal,979109676
bhavss14,Arsenal,709440371625955328
sofeaog_,Arsenal,1241046522457780225
TikiTakaConnor,Arsenal,3372295174
AFC_Jerry,Arsenal,1658148837293273098
dennizzer_k,Arsenal,1503028121494302726
Afcmex,Arsenal,1544618157763137537
Aubazettes_,Arsenal,1540083037110779904
_goatnelli,Arsenal,1646163349372010502
arsenal_pulse1,Arsenal,1680373116982161409
ArsenalN7,Arsenal,2348886729
ThePeakSanti,Arsenal,2775810778
WelBeast,Arsenal,221377111
saltimes,Arsenal,3288999870
ConnorAFC96,Arsenal,1540254602926366721
AFC_Fazeel,Arsenal,885080646187712512
goonercraig74,Arsenal,29671420
Only1Tommo96,Arsenal,2379739871
afc_cat,Arsenal,1427321854260355083
AfcGabeast,Arsenal,1349348718919753732
Deb_236,Arsenal,1209585346004103173
Afc_kb,Arsenal,975780391041847296
simiafc,Arsenal,1353727565572284416
clinicalodegard,Arsenal,1608571023405813760
leegx82,Arsenal,1692143320300994560
bxmpyj,Arsenal,1229056384777555969
aliftbll,Arsenal,1679843445672738819
philcaso,Man City,1561785940107993091
Raheem7ii,Man City,1037469509995704322
Trujista,Man City,1356755259184586758
bernardooooV3,Man City,1198537277615427584
ErlingRoIe,Man City,1177909833372196869
