Team,Player,Nicknames,Seasons
Arsenal,Aaron Ramsdale,"Aaron, Ramsdale, Aaron Ramsdale","(2122, 2223)"
Arsenal,Albert Sambi Lokonga,"Albert, Lokonga, Albert Sambi Lokonga","(2122)"
Arsenal,Alexandre Lacazette,"Alexandre, Lacazette, Alexandre Lacazette, Laca","(2122)"
Arsenal,Ben White,"Ben, White, Ben White","(2122, 2223, 2324, 2425)"
Arsenal,Bukayo Saka,"Bukayo, Saka, Bukayo Saka","(2122, 2223, 2324, 2425)"
Arsenal,Cédric Soares,"Cédric, Soares, Cédric Soares, Cedric Soares, Cedric","(2122)"
Arsenal,Eddie Nketiah,"Eddie, Nketiah, Eddie Nketiah","(2122, 2223, 2324)"
Arsenal,Emile Smith Rowe,"Emile, Smith Rowe, Emile Smith Rowe, Smith-Rowe, Emile Smith-Rowe, ESR","(2122)"
Arsenal,Gabriel Magalhães,"Gabriel, Magalhães, Gabriel Magalhães, Gabriel Magalhaes, Magalhaes","(2122, 2223, 2324, 2425)"
Arsenal,Gabriel Martinelli,"Martinelli, Gabriel Martinelli","(2122, 2223, 2324)"
Arsenal,Granit Xhaka,"Granit, Xhaka, Granit Xhaka","(2122, 2223)"
Arsenal,Kieran Tierney,"Kieran, Tierney, Kieran Tierney","(2122, 2223)"
Arsenal,Martin Ødegaard,"Martin, Ødegaard, Martin Ødegaard, Martin Odegaard, Odegaard","(2122, 2223, 2324, 2425)"
Arsenal,Nicolas Pépé,"Nicolas, Pépé, Nicolas Pépé, Nicolas Pepe, Pepe","(2122)"
Arsenal,Nuno Tavares,"Nuno, Tavares, Nuno Tavares","(2122)"
Arsenal,Rob Holding,"Rob, Holding, Rob Holding","(2122)"
Arsenal,Takehiro Tomiyasu,"Takehiro, Tomiyasu, Takehiro Tomiyasu","(2122, 2223, 2324, 2425)"
Arsenal,Thomas Partey,"Thomas, Partey, Thomas Partey","(2122, 2223, 2425)"
Arsenal,Fabio Vieira,"Fabio, Vieira, Fabio Vieira","(2223)"
Arsenal,Gabriel Jesus,"Jesus, Gabriel Jesus","(2223, 2324, 2425)"
Arsenal,Leandro Trossard,"Leandro, Trossard, Leandro Trossard","(2223, 2324, 2425)"
Arsenal,Oleksandr Zinchenko,"Oleksandr, Zinchenko, Oleksandr Zinchenko","(2223, 2324, 2425)"
Arsenal,William Saliba,"William, Saliba, William Saliba","(2223, 2324, 2425)"
Arsenal,David Raya,"David, Raya, David Raya","(2324, 2425)"
Arsenal,Declan Rice,"Declan, Rice, Declan Rice, Deccers","(2324, 2425)"
Arsenal,Jakub Kiwior,"Jakub, Kiwior, Jakub Kiwior","(2324, 2425)"
Arsenal,Jorginho,Jorginho,"(2324, 2425)"
Arsenal,Kai Havertz,"Kai, Havertz, Kai Havertz","(2324, 2425)"
Arsenal,Reiss Nelson,"Reiss, Nelson, Reiss Nelson","(2324, 2425)"
Arsenal,Ethan Nwaneri,"Ethan, Nwaneri, Ethan Nwaneri","(2425)"
Arsenal,Jurriën Timber,"Jurriën, Timber, Jurriën Timber","(2324, 2425)"
Arsenal,Mikel Merino,"Mikel, Merino, Mikel Merino","(2425)"
Arsenal,Myles Lewis-Skelly,"Myles, Lewis-Skelly, Myles Lewis-Skelly, Lewis Skelly, Myles Lewis Skelly","(2425)"
Arsenal,Raheem Sterling,"Raheem, Sterling, Raheem Sterling","(2425)"
