Team,Manager,Nicknames,Seasons
Arsenal,Mikel Arteta,"Mikel, Arteta, Mikel Arteta","(2122, 2223, 2324, 2425)"
Chelsea,Thomas Tuchel,"Tuchel, Thomas Tuchel","(2122, 2223)"
Chelsea,Graham Potter,"Potter, Graham Potter, Graham","(2223)"
Chelsea,Frank Lampard,"Lamps, Lampard, Frank Lampard","(2223)"
Liverpool,Jürgen Klopp,"Klopp, Jürgen Klopp, Jurgen, Jürgen, Jurgen Klopp","(2122, 2223, 2324)"
Manchester City,Pep Guardiola,"Pep, Pep Guardiola, Guardiola","(2122, 2223, 2324, 2425)"
Manchester Utd,Ole Gunnar Solskjær,"Ole, Ole Gunnar Solskjær, Ole Gunnar Solskjaer, Solskjaer, Ole Gunnar, Ole Solskjaer, Ole Solskjær","(2122)"
Tottenham,Nuno Espirito Santo,"Nuno, Nuno Espirito Santo","(2122)"
Tottenham,Antonio Conte,"Antonio Conte, Conte, Antonio, Contr","(2122, 2223)"
Manchester Utd,Erik ten Hag,"Erik ten Hag, ten Hag, ETH","(2223, 2324, 2425)"
Chelsea,Mauricio Pochettino,"Poch, Mauricio, Pochettino, Mauricio Pochettino","(2324)"
Tottenham,Cristian Stellini,"Cristian Stellini, Stellini","(2223)"
Tottenham,Ryan Mason,"Ryan Mason, Mason","(2223)"
Tottenham,Ange Postecoglou,"Ange, Big Ange, Ange Postecoglou, Postecoglou","(2324, 2425)"
Chelsea,Enzo Maresca,"Maresca, Enzo Maresca","(2425)"
Liverpool,Arne Slot,"Arne, Arne Slot, Slot","(2425)"
Real Madrid,Carlo Ancelotti,"Carlo Ancelotti, Carlo, Ancelotti","(2122, 2223, 2324, 2425)"
Leverkusen,Xabi Alonso,"Xabi, Xabi Alonso, Alonso","(2223, 2324, 2425)"
Barcelona,Xavi Hernández,"Xavi Hernández, Xavi, Xavier Hernández","(2122, 2223, 2324)"
Barcelona,Hansi Flick,"Hansi Flick,, Hansi, Flick","(2425)"
Aston Villa,Unai Emery,"Unai Emery, Emery, Unai","(2223, 2324, 2425)"
Newcastle,Eddie Howe,"Howe, Eddie Howe, Eddie","(2122, 2223, 2324, 2425)"
Brentford,Thomas Frank,"Thomas Frank, Frank","(2122, 2223, 2324, 2425)"
Bayern,Julian Nagelsmann,"Julian Nagelsmann, Julian, Nagelsmann","(2122, 2223)"
Bayern,Thomas Tuchel,"Tuchel, Thomas Tuchel","(2223, 2324)"
Bayern,Vincent Kompany,"Vincent Kompany, Kompany, Vincent","(2425)"
PSG,Mauricio Pochettino,"Poch, Mauricio, Pochettino, Mauricio Pochettino","(2122)"
PSG,Luis Enrique,"Luis Enrique, Enrique","(2324, 2425)"
Roma,Jose Mourinho,"Jose Mourinho, Jose, Mourinho, Mou","(2122, 2223, 2324)"
Fenerbahçe,Jose Mourinho,"Jose Mourinho, Jose, Mourinho, Mou","(2425)"
Brighton,Roberto De Zerbi,"Roberto De Zerbi, De Zerbi, Roberto","(2223, 2324)"
Atlético Madrid,Diego Simeone,"Diego Simeone, Simeone, El Cholo, Cholo","(2122, 2223, 2324, 2425)"
